DESA ,: PAGERWOJO,,,,,,,,,,,,,,,,
BULAN,: FEBRUARI 2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NAMA DUSUN,RW,RT,JUMLAH,JUMLAH ,Peserta KB aktif,,,,,,,,JUMLAH PUS YANG TIDAK KB,,,,
,,,KK,PUS,IUD,MOP,MOW,IMP,SNTIK,PIL,KONDM,JML PA,HAMIL,IAS,IAT,TIAL,JUMLAH
MLATEN,1,1,52,28,1,0,2,7,10,1,0,21,1,3,3,0,7
MLATEN,1,2,88,58,1,0,3,10,26,1,0,41,3,7,5,2,17
GEDIG,2,1,44,29,0,0,2,1,16,2,0,21,3,1,3,1,8
GEDIG,2,2,40,27,0,0,1,4,17,1,0,23,1,1,1,1,4
GEDIG,2,3,43,28,0,0,1,0,18,5,0,24,0,2,2,0,4
GEDIG,2,4,43,27,,,0,1,15,4,0,20,0,2,3,2,7
PAGERWERU,3,1,54,34,2,0,0,6,19,0,0,27,3,3,0,0,6
PAGERWERU,3,2,52,26,0,0,3,4,16,0,0,23,1,3,0,0,4
WONOBOYO,4,1,34,22,1,0,2,2,12,0,0,17,0,4,1,0,5
WONOBOYO,4,2,53,29,0,0,1,1,15,2,1,20,2,1,3,3,9
WONOBOYO,4,3,22,15,0,0,0,0,11,0,0,11,0,2,2,0,4
PLALAR,5,1,39,33,1,2,1,3,17,0,1,25,0,1,0,7,8
PLALAR,5,2,33,18,1,0,0,1,9,1,2,14,0,2,0,2,4
TEGALGUNUNG,6,1,50,29,0,0,4,6,15,3,0,28,0,1,0,0,1
TEGALGUNUNG,6,2,53,30,4,0,2,4,11,4,0,25,0,1,4,0,5
TEGALGUNUNG,6,3,37,21,1,0,0,1,13,0,0,15,0,2,3,1,6
TEGALGUNUNG,6,4,40,26,0,0,1,9,6,0,0,16,2,3,3,2,10
TEGALGUNUNG,6,5,45,28,3,0,1,4,13,0,1,22,1,2,1,2,6
JUMLAH,,,822,508,15,2,24,64,259,24,5,393,17,41,34,23,115
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Pagerwojo,   1 Maret 2021",,,,,,
,,Mengetahui :,,,,,,,,,,PPKBD,,,,,
,,"Kepala Desa Pagerwojo,",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Y U N I A T O,,,,,,,,,,NAFISAH,,,,,
,,,,,,,,,,,,,,,,,
